2, 23040, Note_on_c, 0, 69, 80
2, 23040, Note_off_c, 0, 60, 0
2, 23040, Note_off_c, 0, 53, 0
2, 23040, Note_on_c, 0, 60, 76
2, 23040, Note_on_c, 0, 53, 72
2, 24000, Note_off_c, 0, 72, 0
2, 24000, Note_off_c, 0, 69, 0
2, 24000, Lyric_t, "se's "
2, 24000, Note_on_c, 0, 72, 77
2, 24000, Note_on_c, 0, 65, 72
2, 24000, Note_off_c, 0, 60, 0
2, 24000, Note_off_c, 0, 53, 0
2, 24000, Note_on_c, 0, 57, 77
2, 24000, Note_on_c, 0, 53, 78
2, 24960, Note_off_c, 0, 72, 0
2, 24960, Note_off_c, 0, 65, 0
2, 24960, Lyric_t, "li"
2, 24960, Note_on_c, 0, 74, 78
2, 24960, Note_on_c, 0, 65, 75
2, 24960, Note_off_c, 0, 57, 0
2, 24960, Note_off_c, 0, 53, 0
2, 24960, Note_on_c, 0, 58, 73
2, 25920, Note_off_c, 0, 74, 0
2, 25920, Note_off_c, 0, 65, 0
2, 25920, Lyric_t, "neage "
2, 25920, Note_on_c, 0, 72, 72
2, 25920, Note_on_c, 0, 65, 73
2, 25920, Note_off_c, 0, 58, 0
2, 25920, Note_on_c, 0, 57, 76
2, 25920, Note_on_c, 0, 53, 76
2, 26880, Note_off_c, 0, 72, 0
2, 26880, Note_off_c, 0, 65, 0
2, 26880, Lyric_t, "co"
2, 26880, Note_on_c, 0, 72, 81
2, 26880, Note_on_c, 0, 64, 73
2, 26880, Note_off_c, 0, 57, 0
2, 26880, Note_off_c, 0, 53, 0
2, 26880, Note_on_c, 0, 55, 74
2, 26880, Note_on_c, 0, 48, 68
2, 28800, Note_off_c, 0, 72, 0
2, 28800, Note_off_c, 0, 64, 0
2, 28800, Lyric_t, "ming, "
2, 28800, Note_on_c, 0, 69, 67
2, 28800, Note_on_c, 0, 62, 72
2, 28800, Note_off_c, 0, 55, 0
2, 28800, Note_off_c, 0, 48, 0
2, 28800, Note_on_c, 0, 53, 70
2, 28800, Note_on_c, 0, 50, 82
2, 30720, Note_off_c, 0, 69, 0
2, 30720, Note_off_c, 0, 62, 0
2, 30720, Lyric_t, "as "
2, 30720, Note_on_c, 0, 70, 78
2, 30720, Note_on_c, 0, 62, 78
2, 30720, Note_off_c, 0, 53, 0
2, 30720, Note_off_c, 0, 50, 0
2, 30720, Note_on_c, 0, 53, 76
2, 30720, Note_on_c, 0, 46, 71
2, 32640, Note_off_c, 0, 70, 0
2, 32640, Note_off_c, 0, 62, 0
2, 32640, Lyric_t, "men "
2, 32640, Note_on_c, 0, 69, 72
2, 32640, Note_on_c, 0, 60, 74
2, 32640, Note_off_c, 0, 53, 0
2, 32640, Note_off_c, 0, 46, 0
2, 32640, Note_on_c, 0, 57, 84
2, 32640, Note_on_c, 0, 53, 82
2, 33600, Note_off_c, 0, 69, 0
2, 33600, Lyric_t, "of "
2, 33600, Note_on_c, 0, 67, 73
2, 33600, Note_off_c, 0, 57, 0
2, 33600, Note_off_c, 0, 53, 0
2, 33600, Note_on_c, 0, 60, 78
2, 33600, Note_on_c, 0, 52, 78
2, 34560, Note_off_c, 0, 60, 0
2, 34560, Note_on_c, 0, 62, 78
2, 34560, Note_off_c, 0, 60, 0
2, 34560, Note_off_c, 0, 52, 0
2, 34560, Note_on_c, 0, 58, 75
2, 34560, Note_on_c, 0, 50, 77
2, 35520, Note_off_c, 0, 67, 0
2, 35520, Lyric_t, "old "
2, 35520, Note_on_c, 0, 65, 66
2, 35520, Note_off_c, 0, 58, 0
2, 35520, Note_on_c, 0, 57, 72
2, 36000, Note_off_c, 0, 62, 0
2, 36000, Note_on_c, 0, 57, 66
2, 36480, Note_off_c, 0, 57, 0
2, 36480, Note_on_c, 0, 60, 79
2, 36480, Note_off_c, 0, 50, 0
2, 36480, Note_on_c, 0, 48, 75
2, 37440, Note_off_c, 0, 65, 0
2, 37440, Lyric_t, "have "
2, 37440, Note_on_c, 0, 64, 71
2, 37440, Note_off_c, 0, 57, 0
2, 37440, Note_on_c, 0, 55, 78
2, 38400, Note_off_c, 0, 60, 0
2, 38400, Note_off_c, 0, 64, 0
2, 38400, Lyric_t, "sung. "
2, 38400, Note_on_c, 0, 65, 80
2, 38400, Note_on_c, 0, 60, 78
2, 38400, Note_off_c, 0, 48, 0
2, 38400, Note_off_c, 0, 55, 0
2, 38400, Note_on_c, 0, 57, 75
2, 38400, Note_on_c, 0, 41, 69
2, 40320, Note_off_c, 0, 65, 0
2, 40320, Note_off_c, 0, 60, 0
2, 40320, Note_off_c, 0, 57, 0
2, 40320, Note_off_c, 0, 41, 0
2, 41280, Lyric_t, "It "
2, 41280, Note_on_c, 0, 69, 71
2, 41280, Note_on_c, 0, 65, 73
2, 41280, Note_on_c, 0, 60, 74
2, 41280, Note_on_c, 0, 53, 68
2, 42240, Note_off_c, 0, 69, 0
2, 42240, Note_off_c, 0, 65, 0
2, 42240, Lyric_t, "came, "
2, 42240, Note_on_c, 0, 67, 69
2, 42240, Note_on_c, 0, 62, 70
2, 42240, Note_off_c, 0, 60, 0
2, 42240, Note_off_c, 0, 53, 0
2, 42240, Note_on_c, 0, 58, 74
2, 42240, Note_on_c, 0, 55, 76
2, 43200, Note_off_c, 0, 67, 0
2, 43200, Note_off_c, 0, 62, 0
2, 43200, Lyric_t, "a "
2, 43200, Note_on_c, 0, 64, 69
2, 43200, Note_on_c, 0, 60, 69
2, 43200, Note_off_c, 0, 58, 0
2, 43200, Note_off_c, 0, 55, 0
2, 43200, Note_on_c, 0, 57, 73
2, 44160, Note_off_c, 0, 64, 0
2, 44160, Note_off_c, 0, 60, 0
2, 44160, Lyric_t, "flo"
2, 44160, Note_on_c, 0, 65, 77
2, 44160, Note_on_c, 0, 60, 72
2, 44160, Note_off_c, 0, 57, 0
2, 44160, Note_on_c, 0, 57, 75
2, 44160, Note_on_c, 0, 53, 70
2, 45120, Note_off_c, 0, 65, 0
2, 45120, Note_off_c, 0, 60, 0
2, 45120, Lyric_t, "weret "
2, 45120, Note_on_c, 0, 62, 69
2, 45120, Note_on_c, 0, 59, 77
2, 45120, Note_off_c, 0, 57, 0
2, 45120, Note_off_c, 0, 53, 0
2, 45120, Note_on_c, 0, 55, 76
2, 46080, Note_off_c, 0, 62, 0
2, 46080, Note_off_c, 0, 59, 0
2, 46080, Lyric_t, "bright, "
2, 46080, Note_on_c, 0, 60, 73
2, 46080, Note_off_c, 0, 55, 0
2, 46080, Note_on_c, 0, 55, 78
2, 46080, Note_on_c, 0, 48, 68
2, 46560, Note_on_c, 0, 62, 80
2, 47040, Note_on_c, 0, 64, 84
2, 47048, Note_off_c, 0, 62, 0
2, 47903, Note_off_c, 0, 60, 0
2, 47951, Note_off_c, 0, 64, 0
2, 48000, Note_off_c, 0, 55, 0
2, 48000, Note_off_c, 0, 48, 0
2, 48960, Lyric_t, "a"
2, 48960, Note_on_c, 0, 72, 68
2, 48960, Note_on_c, 0, 64, 67
2, 48960, Note_on_c, 0, 55, 70
2, 48960, Note_on_c, 0, 48, 70
2, 49920, Note_off_c, 0, 72, 0
2, 49920, Note_off_c, 0, 64, 0
2, 49920, Lyric_t, "mid "
2, 49920, Note_on_c, 0, 72, 77
2, 49920, Note_on_c, 0, 67, 76
2, 49920, Note_off_c, 0, 55, 0
2, 49920, Note_off_c, 0, 48, 0
2, 49920, Note_on_c, 0, 55, 75
2, 49920, Note_on_c, 0, 52, 83
2, 50880, Note_off_c, 0, 72, 0
2, 50880, Note_off_c, 0, 67, 0
2, 50880, Lyric_t, "the "
2, 50880, Note_on_c, 0, 72, 75
2, 50880, Note_on_c, 0, 65, 70
2, 50880, Note_off_c, 0, 55, 0
2, 50880, Note_off_c, 0, 52, 0
2, 50880, Note_on_c, 0, 57, 77
2, 50880, Note_on_c, 0, 53, 77
2, 51840, Note_off_c, 0, 72, 0
2, 51840, Note_off_c, 0, 65, 0
2, 51840, Lyric_t, "cold "
2, 51840, Note_on_c, 0, 74, 82
2, 51840, Note_on_c, 0, 65, 77
2, 51840, Note_off_c, 0, 57, 0
2, 51840, Note_off_c, 0, 53, 0
2, 51840, Note_on_c, 0, 58, 78
2, 51840, Note_on_c, 0, 46, 69
2, 52800, Note_off_c, 0, 74, 0
2, 52800, Note_off_c, 0, 65, 0
2, 52800, Lyric_t, "of "
2, 52800, Note_on_c, 0, 72, 74
2, 52800, Note_on_c, 0, 65, 76
2, 52800, Note_off_c, 0, 58, 0
2, 52800, Note_off_c, 0, 46, 0
2, 52800, Note_on_c, 0, 57, 74
2, 52800, Note_on_c, 0, 53, 78
2, 53760, Note_off_c, 0, 72, 0
2, 53760, Note_off_c, 0, 65, 0
2, 53760, Lyric_t, "win"
2, 53760, Note_on_c, 0, 72, 76
2, 53760, Note_on_c, 0, 64, 72
2, 53760, Note_off_c, 0, 57, 0
2, 53760, Note_off_c, 0, 53, 0
2, 53760, Note_on_c, 0, 55, 79
